label,pitch_in,blades,rpm,Re_75,sigma,sigma_over_8,profile_integral,CT_rotor,CP_rotor,CT_over_sigma,FM_measured,cd0_all_profile,cd0_upper_bound,cd0_kappa_typical,solver_profile_share,cd_eff_solver,kappa_solver,cd0_zero_lift_nf,cd0_zero_lift_xf,kappa_implied_nf,kappa_implied_xf,profile_share_implied_nf
DA4002 9x6.75 2b,6.75,2,5430.0,69041.84038330903,0.07650344260111777,0.009562930325139721,0.012744210998496755,0.017934820286026776,0.003250743812910305,0.23443154551276016,0.522453690612488,0.25507611364044014,0.12181065668190177,0.10182083813812104,0.24215976054798224,0.05324320826462474,1.3377068897154882,0.01876580707576108,0.01899230040934085,1.773230002416906,1.7715304372126217,0.07356944093249633
DA4002 9x6.75 2b,6.75,2,5710.0,72603.2707670165,0.07650344260111777,0.009562930325139721,0.012744210998496755,0.018011449931840055,0.0032684834302463993,0.2354331951537158,0.5229518784222992,0.2564680881878002,0.12234761971461422,0.10222954944363633,0.2380936891967137,0.052132947578300476,1.3369992857720459,0.018200551657727142,0.018438120359272545,1.7765188210456382,1.7747475127267078,0.07096614548161519
DA4002 9x6.75 2b,6.75,2,5943.333,75570.84536460107,0.07650344260111777,0.009562930325139721,0.012744210998496755,0.018118912044571476,0.0032884404997495058,0.2368378654414533,0.5244368366393982,0.2580340595535804,0.1227114936160786,0.10241310872545333,0.23498346471554282,0.05128332022789091,1.336461255729362,0.01775420185824856,0.018032159797441414,1.7756081997905961,1.7735541599690248,0.06880565259084305
DA4002 9x8.95 2b,8.95,2,3220.0,40988.70245739175,0.07675979291091359,0.009594974113864198,0.012716124999176015,0.019071880384003655,0.005171755476335857,0.24846185301904383,0.36011174870576357,0.40670844904961057,0.2602479582489463,0.23827888462884675,0.6088409124711825,0.19382428465334675,1.3497823956323018,0.02672396663288282,0.026986023756942878,2.594450423724816,2.592661155351977,0.06570792098204731
DA4002 9x8.95 2b,8.95,2,3443.333,43831.74930430163,0.07675979291091359,0.009594974113864198,0.012716124999176015,0.01903898381888179,0.005102028924862041,0.24803328796077118,0.36408914657040115,0.4012251314919163,0.2551434157844275,0.23323115842830422,0.5865372446098186,0.18669661651939887,1.3715678594199032,0.02559074830666733,0.02593424634018576,2.571399037627762,2.5690476274471323,0.06378151889815736
DA4002 9x8.95 2b,8.95,2,3673.333,46759.62087448535,0.07675979291091359,0.009594974113864198,0.012716124999176015,0.01936214419390245,0.005091804006536375,0.2522433094155674,0.37414806097186,0.40042104075465723,0.2506042847839681,0.22813177138836477,0.5410380065172656,0.17229223076849318,1.4063686513002571,0.024423719446856677,0.02485108824870671,2.509714743665672,2.506862133494793,0.060995095065000296
DA4002 9x8.95 2b,8.95,2,3956.667,50366.29944561855,0.07675979291091359,0.009594974113864198,0.012716124999176015,0.0191975323621554,0.005000683148043797,0.25009880347691665,0.3761177045642033,0.3932552682808508,0.24534499946727725,0.22315845914524124,0.5362689409598663,0.17014578526899937,1.407466398943759,0.02303223127065482,0.023550083556360304,2.503024570098145,2.4995234454645456,0.05856814422688397
DA4002 9x8.95 2b,8.95,2,4176.667,53166.6607694464,0.07675979291091359,0.009594974113864198,0.012716124999176015,0.01938343020662836,0.005042321972068797,0.25252061621797905,0.3784429165390276,0.39652975827113457,0.2464658800564908,0.22395629832429426,0.5332302259082078,0.168621508630559,1.4065287542572908,0.022268525640060995,0.022768494232971843,2.4940127969753605,2.4906810918451243,0.05615852322698686
DA4002 9x8.95 2b,8.95,2,4446.667,56603.43120320466,0.07675979291091359,0.009594974113864198,0.012716124999176015,0.01931428291680358,0.00496516284944259,0.25161978927196277,0.3822692706745657,0.39046194102089465,0.241200339600662,0.2188110993876271,0.49871118538331544,0.15731617469034243,1.4188990332215528,0.021331260541808655,0.021809281200315448,2.473045156736806,2.4698425871947514,0.054630831588954175
DA4002 9x8.95 2b,8.95,2,4696.667,59785.60161619845,0.07675979291091359,0.009594974113864198,0.012716124999176015,0.01938510728641889,0.004915270175684824,0.25254246463271457,0.3882754404858403,0.3865383657366789,0.23645501151559303,0.21394250838243017,0.49626198537592087,0.15612172188170673,1.4185465160104238,0.020463429151182776,0.020921127804239086,2.4391441574942143,2.4360945278038884,0.05294022784047019
