tunnel,airfoil,polar,geom_key,Re,Re_bin,alpha,WT_CL,WT_CD,NF_CL,NF_CD,NF_conf,dCL,err_CD,XF_CL,XF_CD,xf_converged,err_CD_NF_WT,err_CD_XF_WT,err_CD_NF_XF,dCL_NF_WT,dCL_XF_WT,dCL_NF_XF
Princeton,WB135/35,WB135/35|204000,WB135/35,204000,200k,-9.07,-0.51,0.0249,-0.6822626487318358,0.0285157274197283,0.9659243477011702,-0.1722626487318358,0.1452099365352768,-0.6967,0.03056,True,0.1452099365352731,0.22730923694779126,-0.06689373626543527,-0.17226264873183583,-0.18669999999999998,0.014437351268164145
Princeton,WB135/35,WB135/35|204000,WB135/35,204000,200k,-8.06,-0.406,0.0196,-0.5700045326100396,0.0227840474023724,0.9787721602415436,-0.1640045326100395,0.1624513980802288,-0.5685,0.02348,True,0.16245139808022457,0.19795918367346946,-0.029640229881925037,-0.16400453261003956,-0.16249999999999998,-0.0015045326100395773
Princeton,WB135/35,WB135/35|204000,WB135/35,204000,200k,-6.99,-0.287,0.0157,-0.4199584539447853,0.0179683556544541,0.9838459317428626,-0.1329584539447853,0.1444812518760587,-0.4216,0.01834,True,0.14448125187605745,0.16815286624203823,-0.02026414097851136,-0.13295845394478534,-0.1346,0.00164154605521466
Princeton,WB135/35,WB135/35|204000,WB135/35,204000,200k,-6.0,-0.196,0.0136,-0.2878554199721669,0.0148616421365048,0.9830276944592486,-0.0918554199721669,0.0927678041547707,-0.2995,0.01472,True,0.09276780415476477,0.08235294117647068,0.009622427751684757,-0.0918554199721669,-0.10349999999999998,0.011644580027833085
Princeton,WB135/35,WB135/35|204000,WB135/35,204000,200k,-4.97,-0.107,0.0144,-0.1618860173016061,0.01407797170641,0.9774908638355247,-0.054886017301606,-0.0223630759437461,-0.1688,0.01442,True,-0.022363075943749984,0.001388888888888953,-0.02371902174687938,-0.054886017301606096,-0.06180000000000001,0.006913982698393911
Princeton,WB135/35,WB135/35|204000,WB135/35,204000,200k,-3.95,-0.012,0.0138,-0.0526485417910462,0.0140820252104507,0.9737838623615506,-0.0406485417910462,0.0204366094529513,-0.0557,0.01442,True,0.020436609452949294,0.04492753623188411,-0.02343791883143554,-0.0406485417910462,-0.0437,0.0030514582089537987
Princeton,WB135/35,WB135/35|204000,WB135/35,204000,200k,-2.93,0.088,0.0135,0.0517815261509383,0.0139051896740489,0.9732300509256347,-0.0362184738490616,0.0300140499295518,0.0548,0.01417,True,0.03001404992954817,0.04962962962962966,-0.01868809639739592,-0.0362184738490617,-0.03319999999999999,-0.0030184738490617036
Princeton,WB135/35,WB135/35|204000,WB135/35,204000,200k,-1.89,0.193,0.0129,0.1586137242131774,0.0135489642797478,0.9758024784642436,-0.0343862757868225,0.0503073085075816,0.167,0.01371,True,0.050307308507581375,0.0627906976744186,-0.011745858515842469,-0.0343862757868226,-0.025999999999999995,-0.008386275786822606
Princeton,WB135/35,WB135/35|204000,WB135/35,204000,200k,-0.85,0.305,0.0128,0.2676184454755091,0.0129321372884629,0.9786911335593084,-0.0373815545244908,0.0103232256611691,0.2791,0.01317,True,0.010323225661163952,0.028906249999999904,-0.018060950002817027,-0.03738155452449088,-0.02589999999999998,-0.0114815545244909
Princeton,WB135/35,WB135/35|204000,WB135/35,204000,200k,0.17,0.41,0.0122,0.3787025767360882,0.0121877821673534,0.9810354778459932,-0.0312974232639117,-0.0010014616923372,0.3897,0.01252,True,-0.0010014616923443528,0.026229508196721235,-0.026534970658674138,-0.03129742326391177,-0.020299999999999985,-0.010997423263911787
