dap_name,chord_in,x,y
E193MOD,12.013,0.94238,-0.00081
E193MOD,12.013,0.97287,-0.00049
E193MOD,12.013,0.99393,-0.00065
E193MOD,12.013,0.99859,-0.00069
E193MOD,12.013,1.0,0.0
E205A,11.976,1.0,0.0
E205A,11.976,0.99926,0.00143
E205A,11.976,0.99537,0.00217
E205A,11.976,0.99118,0.00289
E205A,11.976,0.98606,0.00419
E205A,11.976,0.96215,0.00749
E205A,11.976,0.9088,0.01469
E205A,11.976,0.86509,0.02076
E205A,11.976,0.78619,0.03254
E205A,11.976,0.71377,0.04265
E205A,11.976,0.64768,0.05142
E205A,11.976,0.59147,0.05923
E205A,11.976,0.52519,0.06792
E205A,11.976,0.46089,0.07496
E205A,11.976,0.40011,0.08003
E205A,11.976,0.33678,0.08233
E205A,11.976,0.26549,0.08061
E205A,11.976,0.20528,0.07572
E205A,11.976,0.15044,0.06819
E205A,11.976,0.10372,0.05801
E205A,11.976,0.06079,0.04462
E205A,11.976,0.03498,0.03315
E205A,11.976,0.01856,0.02293
E205A,11.976,0.00813,0.01411
E205A,11.976,0.00234,0.00719
E205A,11.976,0.0,0.0
E205A,11.976,0.0007,-0.00391
E205A,11.976,0.0023,-0.00675
E205A,11.976,0.00852,-0.01119
E205A,11.976,0.01952,-0.01539
E205A,11.976,0.04302,-0.02077
E205A,11.976,0.08976,-0.02546
E205A,11.976,0.13152,-0.02659
E205A,11.976,0.19372,-0.02653
E205A,11.976,0.26049,-0.02537
E205A,11.976,0.3269,-0.0236
E205A,11.976,0.40729,-0.0215
E205A,11.976,0.4988,-0.01879
E205A,11.976,0.57345,-0.01676
E205A,11.976,0.64824,-0.0148
E205A,11.976,0.7125,-0.01289
E205A,11.976,0.77621,-0.01119
E205A,11.976,0.85231,-0.00929
E205A,11.976,0.92416,-0.0068
E205A,11.976,0.97037,-0.0043
E205A,11.976,0.98277,-0.00303
E205A,11.976,0.98881,-0.00223
E205A,11.976,0.99352,-0.0015
E205A,11.976,0.99758,-0.00083
E205A,11.976,1.0,0.0
E205B,11.987,1.0,0.0
E205B,11.987,0.99974,0.00085
E205B,11.987,0.99392,0.00159
E205B,11.987,0.98578,0.00307
E205B,11.987,0.9729,0.00499
E205B,11.987,0.94617,0.00876
E205B,11.987,0.91866,0.01274
E205B,11.987,0.8802,0.01864
E205B,11.987,0.83393,0.02611
E205B,11.987,0.79263,0.03228
E205B,11.987,0.73829,0.04008
E205B,11.987,0.68535,0.04742
E205B,11.987,0.63333,0.0544
E205B,11.987,0.58021,0.06127
E205B,11.987,0.53232,0.06738
E205B,11.987,0.48264,0.07291
E205B,11.987,0.44197,0.07676
E205B,11.987,0.38814,0.08039
E205B,11.987,0.32774,0.08186
E205B,11.987,0.26612,0.08023
E205B,11.987,0.21066,0.07548
E205B,11.987,0.14521,0.06478
E205B,11.987,0.09684,0.053
E205B,11.987,0.0623,0.04164
E205B,11.987,0.04043,0.03241
E205B,11.987,0.02021,0.0221
E205B,11.987,0.01003,0.01499
E205B,11.987,0.00152,0.00614
E205B,11.987,0.0,-0.0
E205B,11.987,0.00089,-0.00334
E205B,11.987,0.0031,-0.00596
E205B,11.987,0.00816,-0.00968
E205B,11.987,0.01807,-0.01343
E205B,11.987,0.03718,-0.0168
E205B,11.987,0.07273,-0.02114
E205B,11.987,0.13766,-0.02413
E205B,11.987,0.20297,-0.02449
E205B,11.987,0.26877,-0.02305
E205B,11.987,0.34581,-0.02057
E205B,11.987,0.42989,-0.01762
E205B,11.987,0.49449,-0.01526
E205B,11.987,0.56883,-0.01258
E205B,11.987,0.63816,-0.01012
E205B,11.987,0.69937,-0.00831
E205B,11.987,0.75692,-0.00681
E205B,11.987,0.82133,-0.00505
E205B,11.987,0.87969,-0.00361
E205B,11.987,0.92076,-0.00233
E205B,11.987,0.96116,-0.00099
E205B,11.987,0.98546,-0.00048
E205B,11.987,0.98991,-0.00068
E205B,11.987,0.99485,-0.00044
E205B,11.987,0.99873,-0.00063
E205B,11.987,1.0,0.0
E214A,11.964,1.0,0.0
E214A,11.964,0.98921,0.00291
E214A,11.964,0.97156,0.00721
E214A,11.964,0.94593,0.01344
E214A,11.964,0.9111,0.02168
E214A,11.964,0.86106,0.03257
E214A,11.964,0.80668,0.04368
E214A,11.964,0.7515,0.05474
E214A,11.964,0.6856,0.06613
E214A,11.964,0.61533,0.07584
E214A,11.964,0.53834,0.08344
E214A,11.964,0.49264,0.08723
E214A,11.964,0.44143,0.08968
E214A,11.964,0.38189,0.09096
E214A,11.964,0.30797,0.08894
E214A,11.964,0.24597,0.08367
E214A,11.964,0.19136,0.07663
E214A,11.964,0.13199,0.06536
E214A,11.964,0.08756,0.05249
E214A,11.964,0.05881,0.04195
E214A,11.964,0.03272,0.02927
E214A,11.964,0.01429,0.01748
E214A,11.964,0.00723,0.01156
E214A,11.964,0.00246,0.00572
E214A,11.964,0.0,0.0
E214A,11.964,0.00033,-0.0041
E214A,11.964,0.00063,-0.00507
E214A,11.964,0.00418,-0.00905
E214A,11.964,0.01395,-0.01253
E214A,11.964,0.03006,-0.01639
E214A,11.964,0.06052,-0.02078
E214A,11.964,0.09479,-0.02275
E214A,11.964,0.15454,-0.0237
E214A,11.964,0.22884,-0.02353
E214A,11.964,0.31157,-0.02165
E214A,11.964,0.38703,-0.01842
E214A,11.964,0.47023,-0.0131
E214A,11.964,0.54246,-0.00767
E214A,11.964,0.60567,-0.00311
E214A,11.964,0.65865,0.00037
E214A,11.964,0.71106,0.0025
E214A,11.964,0.78073,0.0053
E214A,11.964,0.85444,0.00629
E214A,11.964,0.91581,0.00511
E214A,11.964,0.95562,0.00337
E214A,11.964,0.97958,0.00146
E214A,11.964,0.99116,-0.00013
E214A,11.964,1.0,0.0
E214C,12.057,1.0,0.0
E214C,12.057,0.99655,0.00141
E214C,12.057,0.99284,0.00303
E214C,12.057,0.98588,0.00572
E214C,12.057,0.95318,0.01654
E214C,12.057,0.90743,0.02863
E214C,12.057,0.85807,0.04006
E214C,12.057,0.82377,0.04717
E214C,12.057,0.81466,0.04885
E214C,12.057,0.80921,0.04985
E214C,12.057,0.8016,0.05061
E214C,12.057,0.76784,0.05523
E214C,12.057,0.75295,0.05802
E214C,12.057,0.74722,0.05912
E214C,12.057,0.74147,0.05939
E214C,12.057,0.73699,0.06017
E214C,12.057,0.7093,0.06458
E214C,12.057,0.59339,0.07982
E214C,12.057,0.49886,0.08847
E214C,12.057,0.37788,0.09241
E214C,12.057,0.28427,0.08863
E214C,12.057,0.21392,0.08093
E214C,12.057,0.14102,0.06849
E214C,12.057,0.06897,0.04741
E214C,12.057,0.02548,0.02647
E214C,12.057,0.00783,0.01291
E214C,12.057,0.00197,0.0062
E214C,12.057,0.0,0.0
E214C,12.057,0.00048,-0.00258
E214C,12.057,0.00407,-0.00709
E214C,12.057,0.01143,-0.01086
E214C,12.057,0.02611,-0.01491
E214C,12.057,0.0715,-0.01977
E214C,12.057,0.13117,-0.02223
E214C,12.057,0.20579,-0.0226
E214C,12.057,0.32076,-0.02002
E214C,12.057,0.44292,-0.01278
E214C,12.057,0.55176,-0.0043
E214C,12.057,0.64112,0.00192
E214C,12.057,0.69869,0.00535
E214C,12.057,0.76251,0.00846
E214C,12.057,0.77662,0.01014
E214C,12.057,0.79801,0.01166
E214C,12.057,0.8151,0.0111
E214C,12.057,0.84045,0.0111
E214C,12.057,0.8789,0.01069
E214C,12.057,0.92625,0.00763
E214C,12.057,0.96317,0.00317
E214C,12.057,0.98393,0.00053
E214C,12.057,0.99173,-0.00042
E214C,12.057,0.99848,-0.00106
E214C,12.057,1.0,0.0
E374A,12.06,1.0,0.0
E374A,12.06,0.99956,0.00082
E374A,12.06,0.99459,0.0015
E374A,12.06,0.98587,0.00275
E374A,12.06,0.97104,0.00474
E374A,12.06,0.93069,0.01135
E374A,12.06,0.87735,0.02077
E374A,12.06,0.82139,0.02989
E374A,12.06,0.74877,0.04103
E374A,12.06,0.67132,0.0523
E374A,12.06,0.59367,0.06283
E374A,12.06,0.51772,0.07109
E374A,12.06,0.43932,0.07641
E374A,12.06,0.36181,0.07807
E374A,12.06,0.26789,0.0744
E374A,12.06,0.19237,0.06652
E374A,12.06,0.12583,0.05501
E374A,12.06,0.07677,0.04263
E374A,12.06,0.0459,0.03197
E374A,12.06,0.02563,0.02254
E374A,12.06,0.01233,0.01442
E374A,12.06,0.00357,0.00694
E374A,12.06,0.0,0.0
E374A,12.06,0.00058,-0.00284
E374A,12.06,0.00305,-0.00617
E374A,12.06,0.01036,-0.0104
E374A,12.06,0.02689,-0.01573
E374A,12.06,0.05618,-0.02161
E374A,12.06,0.10183,-0.02669
E374A,12.06,0.15093,-0.02928
E374A,12.06,0.23526,-0.03114
E374A,12.06,0.33725,-0.03114
E374A,12.06,0.41827,-0.03024
E374A,12.06,0.50423,-0.02782
E374A,12.06,0.59964,-0.02386
E374A,12.06,0.6781,-0.0195
E374A,12.06,0.77048,-0.01312
E374A,12.06,0.86019,-0.007
E374A,12.06,0.89877,-0.00448
E374A,12.06,0.95261,-0.00171
E374A,12.06,0.98133,-0.00108
E374A,12.06,0.99182,-0.00106
E374A,12.06,0.9957,-0.00097
E374A,12.06,0.99768,-0.00086
E374A,12.06,1.0,0.0
E374B,12.006,1.0,0.0
E374B,12.006,0.99993,0.00129
E374B,12.006,0.9943,0.00219
E374B,12.006,0.98514,0.00343
E374B,12.006,0.95128,0.00869
E374B,12.006,0.89135,0.01837
E374B,12.006,0.8311,0.02791
E374B,12.006,0.76815,0.03752
E374B,12.006,0.7059,0.04674
E374B,12.006,0.63671,0.05655
E374B,12.006,0.56544,0.06553
E374B,12.006,0.49001,0.07283
E374B,12.006,0.41722,0.07679
E374B,12.006,0.32904,0.07653
E374B,12.006,0.25364,0.07226
E374B,12.006,0.19283,0.06574
E374B,12.006,0.14024,0.05709
E374B,12.006,0.09328,0.04642
E374B,12.006,0.05724,0.03532
E374B,12.006,0.02726,0.02246
E374B,12.006,0.00983,0.01222
E374B,12.006,0.00219,0.00528
E374B,12.006,0.0,0.0
E374B,12.006,0.0009,-0.00379
E374B,12.006,0.00454,-0.00782
E374B,12.006,0.00927,-0.01061
E374B,12.006,0.02052,-0.01485
E374B,12.006,0.04315,-0.02037
E374B,12.006,0.08539,-0.02657
E374B,12.006,0.13467,-0.03042
E374B,12.006,0.1935,-0.0326
E374B,12.006,0.25247,-0.03349
E374B,12.006,0.30895,-0.03356
E374B,12.006,0.37453,-0.03294
E374B,12.006,0.4591,-0.03128
E374B,12.006,0.53883,-0.02915
E374B,12.006,0.61172,-0.02648
E374B,12.006,0.69039,-0.02253
E374B,12.006,0.7496,-0.01882
E374B,12.006,0.81443,-0.01408
E374B,12.006,0.87169,-0.00935
E374B,12.006,0.9203,-0.00541
E374B,12.006,0.96395,-0.00203
E374B,12.006,0.98292,-0.00105
E374B,12.006,0.99096,-0.00098
E374B,12.006,0.99772,-0.00096
E374B,12.006,1.0,0.0
E387A,12.004,1.0,0.0
E387A,12.004,0.99924,6e-05
E387A,12.004,0.99533,0.00083
E387A,12.004,0.99099,0.00146
E387A,12.004,0.98425,0.00252
E387A,12.004,0.95748,0.0065
E387A,12.004,0.91799,0.01244
E387A,12.004,0.86352,0.02039
E387A,12.004,0.81249,0.0281
E387A,12.004,0.76066,0.0357
E387A,12.004,0.70352,0.04423
E387A,12.004,0.65172,0.05179
E387A,12.004,0.58767,0.06062
E387A,12.004,0.51616,0.06899
E387A,12.004,0.42894,0.07624
E387A,12.004,0.35996,0.0784
E387A,12.004,0.28899,0.07685
E387A,12.004,0.22957,0.07237
E387A,12.004,0.17031,0.06483
E387A,12.004,0.11571,0.05454
E387A,12.004,0.07836,0.04485
E387A,12.004,0.05443,0.03663
E387A,12.004,0.03539,0.02851
E387A,12.004,0.01771,0.01825
E387A,12.004,0.00888,0.01173
E387A,12.004,0.00339,0.00657
E387A,12.004,0.0,0.0
E387A,12.004,0.00013,-0.00191
E387A,12.004,0.00069,-0.00344
E387A,12.004,0.00192,-0.00504
E387A,12.004,0.0054,-0.00717
E387A,12.004,0.01115,-0.00909
E387A,12.004,0.01982,-0.01116
E387A,12.004,0.03719,-0.01407
E387A,12.004,0.08786,-0.01734
E387A,12.004,0.14326,-0.01736
E387A,12.004,0.24611,-0.01467
E387A,12.004,0.32673,-0.0118
E387A,12.004,0.45261,-0.0068
E387A,12.004,0.55808,-0.00313
E387A,12.004,0.66477,-0.00022
E387A,12.004,0.71808,0.00098
E387A,12.004,0.80195,0.00237
E387A,12.004,0.8635,0.00256
E387A,12.004,0.92373,0.002
E387A,12.004,0.95595,0.00125
E387A,12.004,0.97517,0.00074
E387A,12.004,0.98369,0.0005
E387A,12.004,0.99004,0.00034
E387A,12.004,0.99546,0.00023
E387A,12.004,0.99789,0.00017
E387A,12.004,1.0,0.0
E387B,11.905,1.0,0.0
E387B,11.905,0.99939,0.00097
E387B,11.905,0.99336,0.00137
E387B,11.905,0.98178,0.00244
E387B,11.905,0.95621,0.0054
E387B,11.905,0.91962,0.00938
E387B,11.905,0.87744,0.01463
E387B,11.905,0.82622,0.02133
E387B,11.905,0.75981,0.0317
E387B,11.905,0.70153,0.04153
E387B,11.905,0.64244,0.04991
E387B,11.905,0.56611,0.06005
E387B,11.905,0.47124,0.06943
E387B,11.905,0.37851,0.07326
